,Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
948,Anatolii Cîrîcu,23,2012,08/12/2012,0,0,1,1
949,Roxana Cocos,23,2012,08/12/2012,0,1,0,1
950,Oscar Figueroa,29,2012,08/12/2012,0,1,0,1
951,Christine Girard,27,2012,08/12/2012,0,0,1,1
952,Hsu Shu-Ching,21,2012,08/12/2012,0,1,0,1
953,Ilya Ilyin,24,2012,08/12/2012,1,0,0,1
954,Cristina Iovu,19,2012,08/12/2012,0,0,1,1
955,Eko Irawan,23,2012,08/12/2012,0,0,1,1
956,Aleksandr Ivanov,23,2012,08/12/2012,0,1,0,1
957,Yuliya Kalina,23,2012,08/12/2012,0,0,1,1
958,Tatyana Kashirina,21,2012,08/12/2012,0,1,0,1
