,Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
623,Justin Gatlin,30,2012,08/12/2012,0,1,1,2
624,Lalonde Gordon,23,2012,08/12/2012,0,0,2,2
625,Sanya Richards-Ross,27,2012,08/12/2012,2,0,0,2
626,DeeDee Trotter,29,2012,08/12/2012,1,0,1,2
627,Elvan Abeylegesse,25,2008,08/24/2008,0,2,0,2
628,Kenenisa Bekele,26,2008,08/24/2008,2,0,0,2
629,Kerron Clement,22,2008,08/24/2008,1,1,0,2
630,Tirunesh Dibaba,23,2008,08/24/2008,2,0,0,2
631,Walter Dix,22,2008,08/24/2008,0,0,2,2
632,Allyson Felix,22,2008,08/24/2008,1,1,0,2
633,Yuliya Gushchina,25,2008,08/24/2008,1,1,0,2
634,Tatyana Lebedeva,32,2008,08/24/2008,0,2,0,2
635,LaShawn Merritt,22,2008,08/24/2008,2,0,0,2
636,David Neville,24,2008,08/24/2008,1,0,1,2
637,Sanya Richards-Ross,23,2008,08/24/2008,1,0,1,2
638,Kerron Stewart,24,2008,08/24/2008,0,1,1,2
639,Jared Tallent,23,2008,08/24/2008,0,1,1,2
640,Angelo Taylor,29,2008,08/24/2008,2,0,0,2
641,Richard Thompson,23,2008,08/24/2008,0,2,0,2
642,Jeremy Wariner,24,2008,08/24/2008,1,1,0,2
643,Shericka Williams,22,2008,08/24/2008,0,1,1,2
644,Nataliya Antyukh,23,2004,08/29/2004,0,1,1,2
645,Kenenisa Bekele,22,2004,08/29/2004,1,1,0,2
646,Derrick Brew,26,2004,08/29/2004,1,0,1,2
647,Shawn Crawford,26,2004,08/29/2004,1,1,0,2
648,Hicham El Guerrouj,29,2004,08/29/2004,2,0,0,2
649,Maurice Greene,30,2004,08/29/2004,0,1,1,2
650,Otis Harris,22,2004,08/29/2004,1,1,0,2
651,Kelly Holmes,34,2004,08/29/2004,2,0,0,2
652,Tatyana Lebedeva,28,2004,08/29/2004,1,0,1,2
653,Jeremy Wariner,20,2004,08/29/2004,2,0,0,2
654,Ato Boldon,26,2000,10/01/2000,0,1,1,2
655,Pauline Davis-Thompson,34,2000,10/01/2000,2,0,0,2
656,Lorraine Graham,27,2000,10/01/2000,0,2,0,2
657,Maurice Greene,26,2000,10/01/2000,2,0,0,2
658,Greg Haughton,26,2000,10/01/2000,0,1,1,2
659,Deon Hemmings,31,2000,10/01/2000,0,2,0,2
660,Robert Korzeniowski,32,2000,10/01/2000,2,0,0,2
661,Tayna Lawrence,25,2000,10/01/2000,0,2,0,2
662,Beverly McDonald,30,2000,10/01/2000,0,1,1,2
663,Merlene Ottey-Page,40,2000,10/01/2000,0,1,1,2
664,Irina Privalova,31,2000,10/01/2000,1,0,1,2
665,Gabriela Szabo,24,2000,10/01/2000,1,0,1,2
666,Gete Wami,25,2000,10/01/2000,0,1,1,2
667,Elisabeth Görgl,28,2010,02/28/2010,0,0,2,2
668,Lindsey Kildow-Vonn,25,2010,02/28/2010,1,0,1,2
669,Ivica Kostelic,30,2010,02/28/2010,0,2,0,2
670,Julia Mancuso,25,2010,02/28/2010,0,2,0,2
671,Tina Maze,26,2010,02/28/2010,0,2,0,2
672,Maria Riesch,25,2010,02/28/2010,2,0,0,2
673,Michaela Dorfmeister,32,2006,02/26/2006,2,0,0,2
674,Janica Kostelic,24,2006,02/26/2006,1,1,0,2
675,Hermann Maier,33,2006,02/26/2006,0,1,1,2
676,Benjamin Raich,27,2006,02/26/2006,2,0,0,2
677,Marlies Schild,24,2006,02/26/2006,0,1,1,2
678,Rainer Schönfelder,28,2006,02/26/2006,0,0,2,2
679,Kjetil André Aamodt,30,2002,02/24/2002,2,0,0,2
680,Renate Götschl,26,2002,02/24/2002,0,1,1,2
